name,ring,quadrant,isNew,description
Flutter,Hold,languages-and-frameworks,,"Cross platform UI Framework, will probably be the next platform for Android<br/><br/><strong>Vendor: </strong><em>Google</em><br/><strong>Assessed by: </strong><em>Julian Exenberger</em><br/><strong>Last assessment date: </strong><em>Q1 - 2020</em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em>No</em><br/><strong>Value: </strong><em></em>"
Blazor,Hold,languages-and-frameworks,,UI technology to replace MVC forms as well as SPA with all of the existing benefits<br/><br/><strong>Vendor: </strong><em>Microsoft</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q1 - 2022</em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em>No</em><br/><strong>Value: </strong><em></em>
Application Insights,Assess,Tools,,Azure technology to monitor a combination of cloud and on premises nodes. Complex solution deployment landscapes.<br/><br/><strong>Vendor: </strong><em>Microsoft</em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em>Monitoring of complex systems requires non-intrusive instrumentation. This provides the cloud bridge that SCOM plays with on premises infrastructure and application landscapes.</em>
Node.JS,Hold,languages-and-frameworks,,Node.js® is a JavaScript runtime built on Chrome's V8 JavaScript engine. JS on the backend. <br/><br/><strong>Vendor: </strong><em>Node</em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em>Limited</em><br/><strong>Should we adopt?: </strong><em>Yes</em><br/><strong>Value: </strong><em></em>
Rust,Adopt,languages-and-frameworks,,"Rust is blazingly fast and memory-efficient: with no runtime or garbage collector, it can power performance-critical services, run on embedded devices, and easily integrate with other languages<br/><br/><strong>Vendor: </strong><em>Mozilla</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q3 - 2022</em><br/><strong>Customer demand: </strong><em>Limited</em><br/><strong>Should we adopt?: </strong><em>Yes</em><br/><strong>Value: </strong><em>mature enough to be used in micro-service architectures for web API micro service deployments as container orchestrated pods in k8s or serverless eg AWS lambda functions where processing performance and memory management are critical</em>"
Cloud RPA,Assess,Techniques,,RPA architectures that use Cloud for RPA<br/><br/><strong>Vendor: </strong><em>Microsoft/Amazon</em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em></em>
Kotlin,Assess,languages-and-frameworks,,"Cross platform programming which runs on Java/Native and JavaScript, default programming language for Android, is a drop in replacement for Java on the Server<br/><br/><strong>Vendor: </strong><em>Jetbrains</em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em>Limited</em><br/><strong>Should we adopt?: </strong><em>No</em><br/><strong>Value: </strong><em></em>"
JetPack Compose,Assess,languages-and-frameworks,,Kotlin based competitor to Flutter<br/><br/><strong>Vendor: </strong><em>Jetbrains/Google</em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em>No</em><br/><strong>Value: </strong><em></em>
GraphQL,Hold,Tools,,Open standard acts as a layer between an API endpoint and data storage layer (eg database)<br/><br/><strong>Vendor: </strong><em>Facebook</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q2 - 2022</em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em>Yes</em><br/><strong>Value: </strong><em>For developing data-centric Web APIs. Provides a query configuration allowing clients to retrieve data from a server declaratively for specific data in the schema required by the client as well as data in a nested schema representing a collection from many sources in a single request</em>
React.js,Assess,languages-and-frameworks,,Javascript development framework like Angular<br/><br/><strong>Vendor: </strong><em>Facebook</em><br/><strong>Assessed by: </strong><em>Parfait Nzamba</em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em>Limited</em><br/><strong>Should we adopt?: </strong><em>Yes</em><br/><strong>Value: </strong><em></em>
PrestoDB,Assess,Tools,True,"Tool to virtualise data across multiuple data sources and db types, forms core of AWS Athena<br/><br/><strong>Vendor: </strong><em>Netflix</em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em></em>"
PouchDB,Hold,Tools,,"Helps develop web applications that work as well offline as they do online. PouchDB is an open-source JavaScript database inspired by Apache CouchDB and designed to run within the browser.<br/><br/><strong>Vendor: </strong><em>PouchDB</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q3 - 2022</em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em>No</em><br/><strong>Value: </strong><em>enables applications to store data locally while offline, then synchronize it with CouchDB and compatible servers when the application is back online, keeping the user's data in sync no matter where they next login</em>"
